title,link,author,pubDate,description,isbn,isbn13,itemId,priceSales,priceStandard,mallType,stockStatus,mileage,cover,categoryId,categoryName,publisher,salesPoint,adult,fixedPrice,customerReviewRank,bestRank,subInfo,seriesInfo
파과 (리커버),http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337280601&amp;partner=openAPI&amp;start=api,구병모 (지은이),2018-04-16,한국 소설에 가장 강렬하게 새겨질 새로운 여성 서사를 탄생시킨 구병모 작가의 《파과》가 새 옷을 갈아입었다. 40여 년간 날카롭고 냉혹하게 청부 살인을 업으로 삼아온 60대 여성 킬러 ‘조각(爪角)’. 몸도 기억도 예전 같지 않게 삐걱거리기 시작하면서 이제는 퇴물 취급을 받는다.,K262939544,9791162203620,337280601,14220,15800,BOOK,,790,https://image.aladin.co.kr/product/33728/6/coversum/k262939544_2.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,위즈덤하우스,42986,False,True,9,25,{},
나쓰메 소세키 기담집 - 기이하고 아름다운 열세 가지 이야기,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337077983&amp;partner=openAPI&amp;start=api,"나쓰메 소세키 (지은이), 히가시 마사오 (엮은이), 김소운 (옮긴이)",2024-04-26,"기담의 사전적 정의는 ‘이상야릇하고 재밌는 이야기’다. ‘이상야릇’한 것은 무엇일까. 우리는 뭔가 평범치 않고 묘한 것, 또는 낯설거나 독특한 일들을 마주할 때 ‘이상야릇하다’고 표현한다. 이러한 관점에서 볼 때 『나쓰메 소세키 기담집』의 이야기들은 ‘기담’의 정의와 제대로 맞물린다.",K962939343,9791169092203,337077983,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33707/79/coversum/s052930028_1.jpg,50996,국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설,글항아리,18865,False,True,9,26,{},
정오에서 가장 먼 시간,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339488780&amp;partner=openAPI&amp;start=api,도종환 (지은이),2024-05-10,"한국시단을 대표하는 서정시인으로서 2024년 올해 등단 40주년을 맞이한 도종환의 열두번째 시집 『정오에서 가장 먼 시간』이 창비시선 501번으로 출간되었다. 세월호 참사의 아픔을 보듬는 “격렬한 희망”(박성우, 추천사)의 시로 먹먹한 감동을 선사한 『사월 바다』(창비 2016) 이후 8년 만에 펴내는 뜻깊은 시집이다.",8936425013,9788936425012,339488780,9900,11000,BOOK,,550,https://image.aladin.co.kr/product/33948/87/coversum/8936425013_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,창비,8080,False,True,9,29,{},"{'seriesId': 5426, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=5426&amp;partner=openAPI', 'seriesName': '창비시선 501'}"
데미안 (오리지널 초판본 표지디자인) - 최신 원전 완역본,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=98710881&amp;partner=openAPI&amp;start=api,"헤르만 헤세 (지은이), 이미영 (옮긴이), 김선형 (해설)",2017-01-01,헤르만 헤세의 ‘영혼의 전기’로 소개되는 《데미안》은 깊이 있는 정신분석과 자기 탐구로 가시밭 같은 자아 성찰의 길을 섬세하게 그려낸 그의 대표작이다. 이 책을 1919년 오리지널 초판본의 우아한 표지로 다시 만나보자.,K042535550,9791187011590,98710881,2970,3300,BOOK,,160,https://image.aladin.co.kr/product/9871/8/coversum/k042535550_2.jpg,50922,국내도서>소설/시/희곡>독일소설,코너스톤,76965,False,True,10,30,{},"{'seriesId': 1077972, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1077972&amp;partner=openAPI', 'seriesName': '코너스톤 착한 고전 시리즈 1'}"
이건 다만 사랑의 습관,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336956202&amp;partner=openAPI&amp;start=api,"안희연, 황인찬 (엮은이)",2024-03-29,1975년 첫 발간부터 지금까지 한국문학의 최첨단에서 평단의 주목과 대중의 호응을 동시에 받아온 창비시선이 500번을 맞아 기념시선집 『이건 다만 사랑의 습관』을 출간했다.,8936402943,9788936402945,336956202,9900,11000,BOOK,,550,https://image.aladin.co.kr/product/33695/62/coversum/8936402943_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,창비,29550,False,True,10,31,{},"{'seriesId': 5426, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=5426&amp;partner=openAPI', 'seriesName': '창비시선 500'}"
아주 희미한 빛으로도,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=321294005&amp;partner=openAPI&amp;start=api,최은영 (지은이),2023-08-07,"‘함께 성장해나가는 우리 세대의 소설가’를 갖는 드문 경험을 선사하며 동료 작가와 평론가, 독자 모두에게 특별한 이름으로 자리매김한 최은영의 세번째 소설집. 이번 소설집은 이전 작품들에 담긴 문제의식을 한층 더 깊고 날카로운 시선으로 이어나간다.",8954695051,9788954695053,321294005,15120,16800,BOOK,,840,https://image.aladin.co.kr/product/32129/40/coversum/s672937436_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학동네,90389,False,True,9,32,{},
웨하스 소년,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339153741&amp;partner=openAPI&amp;start=api,이유리 (지은이),2024-05-10,"경쾌한 호흡, 긴 여운으로 당대 개성 넘치는 한국문학 작가들의 작품을 만나볼 수 있는 마음산책 짧은 소설이 스무 권째 출간을 맞이했다. 스무 번째 짧은 소설은 2020년 &lt;경향신문&gt; 신춘문예에 당선될 당시 ""능청스러우면서도 낯선 상상력과 활달한 문체""라는 평을 받으며 흔들림 없는 자기 구역을 확보해온 이유리 작가의 『웨하스 소년』이다.",8960908835,9788960908833,339153741,13500,15000,BOOK,,750,https://image.aladin.co.kr/product/33915/37/coversum/8960908835_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,마음산책,4920,False,True,9,33,{},"{'seriesId': 609435, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=609435&amp;partner=openAPI', 'seriesName': '마음산책 짧은 소설 '}"
불편한 편의점 (벚꽃 에디션),http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=290457417&amp;partner=openAPI&amp;start=api,김호연 (지은이),2021-04-20,,K192836746,9791161571188,290457417,12600,14000,BOOK,,700,https://image.aladin.co.kr/product/29045/74/coversum/k192836746_2.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,나무옆의자,251587,False,True,9,34,{},"{'seriesId': 1135662, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=1135662&amp;partner=openAPI', 'seriesName': '불편한 편의점 1'}"
도시와 그 불확실한 벽,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=323553082&amp;partner=openAPI&amp;start=api,"무라카미 하루키 (지은이), 홍은주 (옮긴이)",2023-09-06,"고교생 에세이 대회에서 만나 서로 좋아하게 된 그들은, 화창한 여름날 순수한 한쌍의 소년과 소녀였다. 그러던 어느 날, 소녀가 알 수 없는 말을 한다. “지금 여기 있는 나는 진짜 내가 아니야. 진짜 나는 높은 벽으로 둘러싸인 그 도시에 살아.” 소년은 소녀가 들려주는 도시 이야기에 빠져든다.",8954699073,9788954699075,323553082,17550,19500,BOOK,,970,https://image.aladin.co.kr/product/32355/30/coversum/s882937331_1.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,문학동네,191755,False,True,9,35,{},
인계철선,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339573142&amp;partner=openAPI&amp;start=api,"리 차일드 (지은이), 다니엘 J. (옮긴이)",2024-05-14,낮에는 삽으로 수영장을 파고 밤에는 스트립 바의 기도로 일하며 투명인간의 삶을 살고 있던 잭 리처는 어느 날 중년의 사립탐정과 맞닥뜨린다. ‘제이콥 부인’이 잭 리처를 찾고 있다는 탐정의 말에 리처는 모르는 사람이라며 본능적으로 자신을 감춘다.,K652930043,9791192385259,339573142,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33957/31/coversum/k652930043_1.jpg,107436,국내도서>소설/시/희곡>액션/스릴러소설>외국 액션/스릴러소설,오픈하우스,3640,False,True,10,36,{},"{'seriesId': 16526, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=16526&amp;partner=openAPI', 'seriesName': '잭 리처 컬렉션 '}"
참을 수 없는 존재의 가벼움 - 국내 출간 30주년 기념 특별판,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=152511699&amp;partner=openAPI&amp;start=api,"밀란 쿤데라 (지은이), 이재룡 (옮긴이)",2018-06-20,"현재에서 멀지 않은 20세기 작가이지만 이미 살아 있는 신화가 된 작가, 밀란 쿤데라. 쿤데라 작품을 독점 계약, 출판하고 있는 민음사가 밀란 쿤데라 국내 소개 30주년을 맞아 선보이는 &lt;참을 수 없는 존재의 가벼움&gt; 리뉴얼 판이다.",8937437562,9788937437564,152511699,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/15251/16/coversum/8937437562_1.jpg,51036,국내도서>소설/시/희곡>세계의 소설>동유럽소설,민음사,85252,False,True,9,37,{},
남은 인생 10년,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336105554&amp;partner=openAPI&amp;start=api,"코사카 루카 (지은이), 김지연 (옮긴이)",2024-03-22,일본에서 누적 부수 80만 부를 돌파한 베스트셀러 《남은 인생 10년》이 섬세한 감정선을 살린 새 번역과 이야기의 분위기를 그대로 옮겨온 이규태 작가의 일러스트를 입은 새 표지로 전격 재출간된다.,K312939913,9791193358689,336105554,15300,17000,BOOK,,850,https://image.aladin.co.kr/product/33610/55/coversum/k312939913_1.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,모모,14405,False,True,10,38,{},
프로젝트 헤일메리,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373&amp;partner=openAPI&amp;start=api,"앤디 위어 (지은이), 강동혁 (옮긴이)",2021-05-04,"데뷔작 《마션》과 후속작 《아르테미스》가 연달아 대성공을 거두며 뉴욕 타임스와 아마존 베스트셀러에 이름을 올린 명실상부 최고의 SF 작가, 앤디 위어의 신작. 지구를 구하기 위해서 정작 스스로는 지구로 돌아오지 못할 헤일메리호에 오른 ‘좋은 사람’인 주인공의 이야기가 펼쳐진다.",8925588730,9788925588735,270454373,19800,22000,BOOK,,1100,https://image.aladin.co.kr/product/27045/43/coversum/8925588730_1.jpg,89481,국내도서>소설/시/희곡>과학소설(SF)>외국 과학소설,알에이치코리아(RHK),31585,False,True,9,39,{},"{'seriesId': 979461, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=979461&amp;partner=openAPI', 'seriesName': '앤디 위어 우주 3부작 '}"
"어서 오세요, 휴남동 서점입니다 (일본서점대상 수상기념 리커버)",http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=337835320&amp;partner=openAPI&amp;start=api,황보름 (지은이),2022-01-17,"황보름 장편소설 『어서 오세요, 휴남동 서점입니다』가 2024년 일본 서점대상 1위(번역소설부문)를 수상했다. 일본 서점대상은 2004년 제정된 일본의 문학상으로, 서점 직원들의 ‘가장 팔고 싶은 책’ 직접 투표로 수상작이 선정된다. 2012년부터는 번역소설부문의 시상도 시작되었으며, 한국소설이 이 부문 1위를 수상한 건 손원평 작가의 『아몬드』와 『서른의 반격』에 이어 이번이 세 번째다.",K872930470,9791197377143,337835320,13500,15000,BOOK,,750,https://image.aladin.co.kr/product/33783/53/coversum/k872930470_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,클레이하우스,36650,False,True,9,40,{},
일러두기 - 2024년 제47회 이상문학상 작품집,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338120740&amp;partner=openAPI&amp;start=api,"조경란, 김기태, 박민정, 박솔뫼, 성혜령, 최미래 (지은이)",2024-04-09,"2024년 제47회 이상문학상 심사위원회(권영민, 구효서, 김종욱, 윤대녕, 전경린)는 2023년 한 해 동안 국내에 발표된 중단편소설을 엄선하여 가장 많은 지지를 얻은 조경란의 「일러두기」를 대상 수상작으로 선정했다.",8970125949,9788970125947,338120740,14850,16500,BOOK,,820,https://image.aladin.co.kr/product/33812/7/coversum/8970125949_1.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,문학사상,13430,False,True,10,41,{},
세상의 마지막 기차역 (리커버 에디션),http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=311966272&amp;partner=openAPI&amp;start=api,"무라세 다케시 (지은이), 김지연 (옮긴이)",2022-05-11,"우리를 뜨겁게 울린 화제의 소설 ‘세상의 마지막 기차역’ 의 20만 부 기념 리커버 에디션이 출간되었다. 이번 리커버 에디션은 20만 부 판매 돌파를 기념한 것으로, 믿고 보는 일러스트레이터 반지수 작가와의 콜라보레이션을 통해 화사한 봄날을 배경으로 재탄생했다.",K272831051,9791191043754,311966272,12600,14000,BOOK,,700,https://image.aladin.co.kr/product/31196/62/coversum/k272831051_1.jpg,51120,국내도서>소설/시/희곡>판타지/환상문학>외국판타지/환상소설,모모,55976,False,True,9,42,{},
인간 실격,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=491611&amp;partner=openAPI&amp;start=api,"다자이 오사무 (지은이), 김춘미 (옮긴이)",2004-05-15,"자살 미수와 약물 중독, 39세의 젊은 나이에 자살로 생을 마감한 다자이 오사무의 작품 <인간 실격>이 출간됐다. 오직 순수함만을 갈망하는 한 젊은이가 파멸해가는 과정이 그려진다. 뉴욕 타임스는 '인간의 나약함을 드러내는 데 있어 다자이보다 뛰어난 작가는 드물다'고 평했다.",893746103X,9788937461033,491611,8100,9000,BOOK,,450,https://image.aladin.co.kr/product/49/16/coversum/893746103x_3.jpg,50996,국내도서>소설/시/희곡>일본소설>1950년대 이전 일본소설,민음사,81737,False,True,9,43,{},"{'seriesId': 13679, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=13679&amp;partner=openAPI', 'seriesName': '민음사 세계문학전집 103'}"
샤워젤과 소다수,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=326306336&amp;partner=openAPI&amp;start=api,고선경 (지은이),2023-10-19,"체념과 무기력만 남은 듯한 세상에 희망이라는 농담을 던지며 자신을 향한 믿음을 놓지 않는 청년 세대를 그리는 시인, 고선경의 첫번째 시집 『샤워젤과 소다수』를 문학동네시인선 202번으로 출간한다.",8954696015,9788954696012,326306336,10800,12000,BOOK,,600,https://image.aladin.co.kr/product/32630/63/coversum/8954696015_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,문학동네,20426,False,True,9,44,{},"{'seriesId': 21977, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=21977&amp;partner=openAPI', 'seriesName': '문학동네 시인선 202'}"
악스트 Axt 2024.5.6 - no.54,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339539700&amp;partner=openAPI&amp;start=api,악스트 편집부 (지은이),2024-05-14,"새로워진 격월간 문학잡지 『Axt』 54호의 키워드는 ‘셀프 돌봄(Self-care)’이다. 어쩔 수 없이 함께 살아갈 수밖에 없는 나의 몸과 마음을 어떻게 보살피고 다독일 것인지, 그리하여 생활을 제대로 건사하고 올바르게 외부 세계로 나아갈 방법은 무엇인지. 홀로 자신을 돌볼 수밖에 없는 환경과 인간의 돌봄이 가닿는 범위에 대한 고찰까지, 이번 호를 통해 살펴보고자 한다.",K972930439,9772384367000,339539700,9000,10000,BOOK,,500,https://image.aladin.co.kr/product/33953/97/coversum/k972930439_1.jpg,189511,국내도서>소설/시/희곡>문학 잡지>악스트,은행나무,4120,False,False,10,45,{},"{'seriesId': 116059, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=116059&amp;partner=openAPI', 'seriesName': '악스트 Axt '}"
초록의 어두운 부분,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=339293604&amp;partner=openAPI&amp;start=api,조용미 (지은이),2024-05-08,어둠 속에서 더 선명해지는 아름다움을 노래하는 시인 조용미의 여덟번째 시집. 30여 년간 부지런히 시를 쓰고 발표해온 그의 초록빛 언어는 여전히 싱그럽고 동시에 웅숭깊다. 오랫동안 지극한 눈길로 무언가를 바라본 자만이 빚어낼 법한 생의 풍경이 이번 시집 곳곳에 도저하다.,8932042748,9788932042749,339293604,10800,12000,BOOK,,600,https://image.aladin.co.kr/product/33929/36/coversum/8932042748_1.jpg,51167,국내도서>소설/시/희곡>시>한국시,문학과지성사,5280,False,True,0,46,{},"{'seriesId': 4612, 'seriesLink': 'http://www.aladin.co.kr/shop/common/wseriesitem.aspx?SRID=4612&amp;partner=openAPI', 'seriesName': '문학과지성 시인선 602'}"
정욕 - 바른 욕망,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=336636954&amp;partner=openAPI&amp;start=api,"아사이 료 (지은이), 민경욱 (옮긴이)",2024-03-28,"2021년 출간 이후, 일본 최고 문제작이자 화제작으로 떠오른 장편소설 《정욕》이 리드비에서 소개된다. 최연소 남성 나오키상 수상 작가 아사이 료의 데뷔 10주년 기념작이기도 한 이 작품은 성적 욕망을 뜻하는 ‘정욕(情慾)’, 마음속의 욕구를 다룬 ‘정욕(情欲)’이 아닌 ‘바른 욕망’이란 뜻의 ‘正欲’이란 한자를 제목으로 삼고 있다.",K732939627,9791192738260,336636954,15480,17200,BOOK,,860,https://image.aladin.co.kr/product/33663/69/coversum/k732939627_1.jpg,50998,국내도서>소설/시/희곡>일본소설>1950년대 이후 일본소설,리드비,21685,False,True,9,47,{},
미 비포 유,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=338505472&amp;partner=openAPI&amp;start=api,"조조 모예스 (지은이), 김선형 (옮긴이)",2024-04-25,"2014년 초판이 출간된 이후 쇄를 거듭하며 사랑받은 소설 『미 비포 유』가 10년 만에 전면 개정판으로 돌아왔다. 럭셔리 브랜드와의 협업, 더현대 사진전 11만 관람객을 동원한 봄을 찍는 포토그래퍼 ‘테레사 프레이타스’와 협업한 표지로 새로운 시작을 화사하게 알린다.",K082930104,9791130651606,338505472,16200,18000,BOOK,,900,https://image.aladin.co.kr/product/33850/54/coversum/k082930104_1.jpg,50919,국내도서>소설/시/희곡>영미소설,다산책방,7105,False,True,10,48,{},
홍학의 자리,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=275879438&amp;partner=openAPI&amp;start=api,정해연 (지은이),2021-07-26,10년 가까이 스릴러 장르에 매진하며 장편 단편 할 것 없이 독자들의 눈길을 사로잡는 작품을 발표한 정해연 작가의 신작. 프롤로그를 시작으로 총 21개의 챕터로 구성된 이 작품은 매 챕터마다 놀라운 전개와 탁월한 스토리텔링을 보여준다.,8954681158,9788954681155,275879438,12600,14000,BOOK,,700,https://image.aladin.co.kr/product/27587/94/coversum/8954681158_1.jpg,51065,국내도서>소설/시/희곡>추리/미스터리소설>한국 추리/미스터리소설,엘릭시르,27974,False,True,8,49,{},
분실물이 돌아왔습니다,http://www.aladin.co.kr/shop/wproduct.aspx?ItemId=335137318&amp;partner=openAPI&amp;start=api,김혜정 (지은이),2024-02-21,"『오백 년째 열다섯 1,2』, 『하이킹 걸즈』, 『판타스틱 걸』(드라마 [안녕, 나야] 원작), 『헌터걸』 시리즈 등 청소년 소설과 동화를 주로 써오던 김혜정 작가가 이번에는 어른을 위한 첫 장편을 선보인다.",K072938554,9791169083812,335137318,14400,16000,BOOK,,800,https://image.aladin.co.kr/product/33513/73/coversum/k072938554_2.jpg,50993,국내도서>소설/시/희곡>한국소설>2000년대 이후 한국소설,오리지널스,15175,False,True,10,50,{},
